,university,Ave. Salary,Avg. Change,Count,Avg. Compensation,Salary Equity,position,State,Category
1975,Northeastern University ,179900,2.4,338.0,224300.0,93.5,P,MASSACHUSETTS,Doctor
1976,Northeastern University ,124100,4.0,253.0,159600.0,99.4,AP,MASSACHUSETTS,Doctor
1977,Northeastern University ,112300,4.1,181.0,139500.0,94.1,aP,MASSACHUSETTS,Doctor
1978,Northeastern University ,80500,4.4,446.0,102800.0,88.2,I,MASSACHUSETTS,Doctor
1979,Northern Arizona University ,107200,3.0,300.0,140100.0,90.9,P,ARIZONA,Doctor
1980,Northern Arizona University ,78800,3.8,218.0,108000.0,92.1,AP,ARIZONA,Doctor
1981,Northern Arizona University ,64800,3.9,336.0,88200.0,92.8,aP,ARIZONA,Doctor
1982,Northern Arizona University ,48500,4.6,278.0,66300.0,95.9,I,ARIZONA,Doctor
1983,Northern Illinois University ,100300,0.4,215.0,137300.0,90.9,P,ILLINOIS,Doctor
1984,Northern Illinois University ,77400,0.1,260.0,108100.0,104.3,AP,ILLINOIS,Doctor
1985,Northern Illinois University ,72200,0.4,185.0,101500.0,96.8,aP,ILLINOIS,Doctor
1986,Northern Illinois University ,43100,1.2,159.0,66800.0,91.5,I,ILLINOIS,Doctor
1987,Northern Kentucky University ,98900,2.4,121.0,129900.0,94.7,P,KENTUCKY,Master
1988,Northern Kentucky University ,73700,5.3,149.0,97200.0,96.2,AP,KENTUCKY,Master
1989,Northern Kentucky University ,68900,5.3,99.0,90300.0,88.3,aP,KENTUCKY,Master
1990,Northern Kentucky University ,0,,0.0,,,I,KENTUCKY,Master
1991,Northern Michigan University ,91700,2.0,97.0,129500.0,98.8,P,MICHIGAN,Master
1992,Northern Michigan University ,77200,4.0,72.0,110000.0,93.8,AP,MICHIGAN,Master
1993,Northern Michigan University ,66700,4.8,67.0,96100.0,90.5,aP,MICHIGAN,Master
1994,Northern Michigan University ,51900,8.3,25.0,83800.0,95.3,I,MICHIGAN,Master
1995,Northwest University ,72800,5.1,14.0,94700.0,96.4,P,WASHINGTON,Baccalaureate
1996,Northwest University ,60100,5.4,15.0,78300.0,100.5,AP,WASHINGTON,Baccalaureate
1997,Northwest University ,54300,5.0,30.0,72100.0,97.1,aP,WASHINGTON,Baccalaureate
1998,Northwest University ,52400,4.3,4.0,67600.0,74.5,I,WASHINGTON,Baccalaureate
1999,Northwest-Shoals Community College ,54300,,80.0,,95.1,U,ALABAMA,NoRank
2000,Northwestern College ,68100,3.9,30.0,,97.7,P,IOWA,Baccalaureate
2001,Northwestern College ,58800,4.0,20.0,,99.8,AP,IOWA,Baccalaureate
2002,Northwestern College ,50600,4.8,19.0,,104.3,aP,IOWA,Baccalaureate
2003,Northwestern College ,48600,5.7,14.0,,101.9,I,IOWA,Baccalaureate
2004,Northwestern University ,211200,4.0,635.0,266600.0,90.2,P,ILLINOIS,Doctor
2005,Northwestern University ,135400,7.7,305.0,177500.0,89.7,AP,ILLINOIS,Doctor
2006,Northwestern University ,116700,5.6,232.0,153900.0,90.3,aP,ILLINOIS,Doctor
2007,Northwestern University ,0,,0.0,,,I,ILLINOIS,Doctor
2008,Oakland University ,111400,3.8,122.0,153000.0,84.9,P,MICHIGAN,Doctor
2009,Oakland University ,82300,3.3,232.0,117500.0,95.4,AP,MICHIGAN,Doctor
2010,Oakland University ,71800,2.5,137.0,100800.0,93.4,aP,MICHIGAN,Doctor
2011,Oakland University ,64900,2.1,98.0,89000.0,98.5,I,MICHIGAN,Doctor
2012,Oberlin College ,127700,0.3,115.0,177100.0,95.2,P,OHIO,Baccalaureate
2013,Oberlin College ,95300,0.1,92.0,127300.0,92.0,AP,OHIO,Baccalaureate
2014,Oberlin College ,71600,1.4,87.0,90700.0,93.0,aP,OHIO,Baccalaureate
2015,Oberlin College ,50900,1.0,8.0,64000.0,152.6,I,OHIO,Baccalaureate
2016,Occidental College ,133500,2.2,71.0,168700.0,92.7,P,CALIFORNIA,Baccalaureate
2017,Occidental College ,94000,4.0,48.0,123000.0,100.0,AP,CALIFORNIA,Baccalaureate
2018,Occidental College ,78600,4.6,28.0,101700.0,97.3,aP,CALIFORNIA,Baccalaureate
2019,Occidental College ,64500,2.8,41.0,83300.0,93.6,I,CALIFORNIA,Baccalaureate
2020,Ohio Northern University ,98400,,57.0,125900.0,109.3,P,OHIO,Baccalaureate
2021,Ohio Northern University ,75600,,71.0,99600.0,101.2,AP,OHIO,Baccalaureate
2022,Ohio Northern University ,70300,,85.0,93400.0,100.3,aP,OHIO,Baccalaureate
2023,Ohio Northern University ,50200,,10.0,69500.0,84.8,I,OHIO,Baccalaureate
2024,Ohio State University Agricultural Technical Institute ,74400,2.1,12.0,122400.0,105.2,AP,OHIO,Baccalaureate
2025,Ohio State University Agricultural Technical Institute ,76800,3.9,10.0,103300.0,94.3,aP,OHIO,Baccalaureate
2026,Ohio State University Agricultural Technical Institute ,0,,0.0,,,I,OHIO,Baccalaureate
2027,Ohio State University-Lima Campus ,106200,2.0,11.0,138400.0,66.1,P,OHIO,Baccalaureate
2028,Ohio State University-Lima Campus ,73600,3.1,17.0,98400.0,98.8,AP,OHIO,Baccalaureate
2029,Ohio State University-Lima Campus ,63100,2.9,4.0,84800.0,101.4,aP,OHIO,Baccalaureate
2030,Ohio State University-Lima Campus ,0,,0.0,,,I,OHIO,Baccalaureate
2031,Ohio State University-Main Campus ,150000,2.7,994.0,195700.0,89.6,P,OHIO,Doctor
2032,Ohio State University-Main Campus ,101300,3.9,718.0,137700.0,92.9,AP,OHIO,Doctor
2033,Ohio State University-Main Campus ,89400,3.2,621.0,125400.0,90.9,aP,OHIO,Doctor
2034,Ohio State University-Main Campus ,124000,3.0,10.0,176200.0,62.0,I,OHIO,Doctor
2035,Ohio State University-Mansfield Campus ,94500,6.3,6.0,121100.0,,P,OHIO,Baccalaureate
2036,Ohio State University-Mansfield Campus ,73700,2.0,25.0,98900.0,96.8,AP,OHIO,Baccalaureate
2037,Ohio State University-Mansfield Campus ,62200,2.9,6.0,83800.0,97.7,aP,OHIO,Baccalaureate
2038,Ohio State University-Mansfield Campus ,0,,0.0,,,I,OHIO,Baccalaureate
2039,Ohio State University-Marion Campus ,106700,4.2,4.0,137800.0,109.7,P,OHIO,Baccalaureate
2040,Ohio State University-Marion Campus ,78100,1.9,18.0,103000.0,97.3,AP,OHIO,Baccalaureate
2041,Ohio State University-Marion Campus ,71500,3.2,14.0,94800.0,95.8,aP,OHIO,Baccalaureate
2042,Ohio State University-Marion Campus ,0,,0.0,,,I,OHIO,Baccalaureate
2043,Ohio State University-Newark Campus ,100300,4.4,8.0,127900.0,105.9,P,OHIO,Baccalaureate
2044,Ohio State University-Newark Campus ,86600,4.5,28.0,112100.0,96.0,AP,OHIO,Baccalaureate
